Participant_ID,Keyword,Segment_1_Best_Match,Segment_1_Min_Distance,Segment_2_Best_Match,Segment_2_Min_Distance,Segment_3_Best_Match,Segment_3_Min_Distance
1,బట్ట,పట్ట,46785.16505259728,పట్ట,48201.902322483686,పట్ట,38515.30726805781
1,పాటు,పాడు,42702.88864183947,పాడు,39541.10999503545,పాడు,38237.60775186411
1,గాటు,కాటు,57102.126566772255,కాటు,42409.540262745686,కాటు,44024.814423344054
3,బట్ట,పట్ట,73320.77685841625,పట్ట,48831.770118606175,పట్ట,35498.18788882775
3,పాటు,పాడు,83020.77620019826,పాడు,47671.54972167019,పాడు,41544.17940616042
3,తన్ను,అన్ను,34237.96689157899,అన్ను,26882.093480656626,అన్ను,27557.62359128287
3,గాటు,కాటు,83466.12627075457,కాటు,75084.61640186294,కాటు,47099.23543764467
4,బట్ట,పట్ట,80054.3984057727,పట్ట,82285.4415834761,అట్ట,85217.498851095
4,పట్ట,బట్ట,97245.03230161719,బట్ట,74887.3039399933,అట్ట,80800.29938890407
4,పాటు,పాడు,86560.17104469427,పాడు,62090.66539302643,పావు,93270.59809705481
5,పాటు,పాడు,65040.13772967393,పాడు,57636.52958270917,పాడు,47462.68248603415
5,తన్ను,అన్ను,37366.8956482024,అన్ను,32995.80388813295,అన్ను,25063.75948981341
5,గాటు,కాటు,67073.32559447538,కాటు,58115.7577256441,కాటు,49601.704737019
6,బట్ట,పట్ట,79752.46468994906,పట్ట,75768.98437649258,పట్ట,53140.88583280174
6,తన్ను,అన్ను,68733.0692411366,అన్ను,72242.91677678665,అన్ను,59751.83392512975
7,బట్ట,పట్ట,63196.71433698445,పట్ట,50241.05052137946,పట్ట,39497.76392074365
8,బట్ట,పట్ట,56809.6784376623,పట్ట,45620.81333717946,పట్ట,37291.34740350937
8,పాటు,పాడు,84704.92231833008,పాడు,54284.972153242,పాడు,40282.108699861754
8,గాటు,కాటు,58725.211510023764,కాటు,56329.66245890045,కాటు,46983.223495338425
9,బట్ట,పట్ట,70258.78295971705,పట్ట,54654.335308746784,పట్ట,41171.46679549462
9,పాటు,పాడు,66963.6150974492,పాడు,48375.39456526542,పాడు,44596.80284561109
9,తన్ను,అన్ను,54634.801999899166,అన్ను,43860.02517657674,అన్ను,34496.97399438792
9,గాటు,కాటు,70004.52726522145,కాటు,59427.07604702715,కాటు,48180.00012336589
10,పట్ట,బట్ట,69171.98501282146,బట్ట,76232.10490502202,బట్ట,57871.406341935675
10,పాడు,పాటు,70710.000142953,పాటు,75347.86715114853,పాటు,55480.79191117483
10,తన్ను,దన్ను,66228.2162220697,అన్ను,67455.52426829342,అన్ను,44093.23043734344
10,గాటు,కాటు,79713.42992260876,కాటు,84384.62719034235,ఆటు,53923.990669716935
11,పట్ట,బట్ట,87639.29433693712,బట్ట,94780.71431044281,అట్ట,54619.533786650565
11,పాడు,పాటు,73375.56466488489,పాటు,84761.76133310725,పావు,51062.84076909938
11,పాటు,పావు,104609.57928733711,పావు,102125.01623143163,పావు,70861.76085265158
11,తన్ను,దన్ను,60379.621185881355,దన్ను,65555.06707014261,అన్ను,69624.82163161995
11,కాటు,గాటు,84347.42405152637,గాటు,82448.47645878306,ఆటు,54429.22289998562
11,ఫాలు,వాలు,59128.70433809645,వాలు,64849.86419937643,ఆలు,52061.13656044497
